              1;  5;"R15, R16, R17, R18, R19"
            100;  2;"R36, R54"
          1000u;  1;"C2"
           100n;  9;"C4, C6, C9, C11, C13, C14, C16, C17, C26"
            10k;  8;"R3, R6, R23, R24, R26, R27, R34, R51"
            10u;  3;"C1, C15, C18"
            12k;  1;"R10"
            18p;  2;"C7, C8"
             1k;  2;"R31, R46"
             1m;  1;"C5"
         1N5819;  2;"D1, D2"
            1R5;  3;"R1, R4, R9"
           2.2n;  1;"C3"
            20k;  1;"R11"
           220n;  1;"C12"
        24LC16B;  1;"EEPROM1"
            30k; 18;"R12, R13, R14, R20, R21, R22, R29, R30, R32, R35, R41, R42, R43, R47, R48, R49, R50, R53"
            4u7;  1;"C10"
             50;  6;"R7, R8, R25, R38, R55, R56"
            500;  7;"R33, R37, R39, R40, R44, R45, R52"
            65k;  1;"R28"
           8MHz;  1;"X1"
         AD8607;  1;"D3"
          BC847;  5;"Q1, Q3, Q7, Q8, Q10"
          BC857;  2;"Q4, Q9"
              C;  4;"C19, C20, C22, C24"
         CONN_4;  3;"P2, P6, P7"
            CP1;  3;"C21, C23, C25"
       DIODESCH;  2;"D4, D7"
          i2c-1;  2;"K1, K2"
       INDUCTOR;  3;"L1, L2, L3"
           L293;  1;"U2"
            LED;  2;"D5, D6"
     LSM303DLHC;  1;"lsm1"
          MOS_N;  1;"Q6"
          MOS_P;  4;"Q5, Q11, Q12, Q13"
        NCP3063;  1;"U1"
            NPN;  1;"Q2"
         PWR-IN;  4;"P1, P3, P4, P5"
  STM32F102C8T6;  1;"stm1"
        TC1047A;  1;"TC1"
